TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0.2312686,327743.2,237344.8,317113.3,190973.4,431.936,1426.88,468.8341,515.2,458.9571,949.76
0.232,417290.5,247936.6,498924.8,244729,752.8746,1187.2,470.2203,454.72,760.5206,828.8
0.2321486,463717.3,299277.4,474507.1,208491.4,1566.343,2375.52,854.7964,689.92,489.1513,704.48
0.23248,261313.5,192773.3,296928.5,202471.4,1016.836,1508.64,362.6885,468.16,462.7151,721.28
0.2364114,426827.4,347155.2,313385,194181.1,1118.91,1844.64,21934.75,20494.88,347.3315,458.08
0.2367771,498083.7,419677.4,328364.9,198549.1,1094.434,1843.52,22243.39,20386.24,273.9685,744.8
0.2368343,544439.9,376837.4,385504.6,210137.8,1287.978,2421.44,14055.03,11858.56,543.6049,628.32
0.2394857,376674.5,248632.2,401957.2,247383.4,76.36288,1488.48,486.942,644,217.3163,493.92
0.2396914,245894,220737.4,210012.9,163727.2,294.3615,1079.68,343.4868,439.04,96.9292,264.32
0.2410857,282400.4,253397.8,179210.4,120288,533.7388,1550.08,193.6093,334.88,146.4443,436.8
0.2416686,507664.8,287028,586002.8,250504.8,1509.106,2686.88,667.696,670.88,576.5176,686.56
0.2421829,302879.9,277341.1,175828.5,100637.6,463.5273,1470.56,380.2657,579.04,150.224,462.56
0.2432572,244655.5,219144.8,214705.2,151242.6,906.8024,1339.52,183.9597,325.92,147.0291,362.88
0.2448571,532717.3,282204.2,556098.3,214500.2,1405.712,1608.32,621.1808,529.76,17.18733,434.56
0.2455543,563846.6,491770.7,484629.3,334280.8,1720.878,1744.96,38745.15,36057.28,856.5726,860.16
0.2506857,587862.2,488943.8,431511.7,253780.8,1813.074,2380,24328.67,22814.4,524.4574,533.12
0.2542171,341741.8,236195.7,326475.8,184774.2,327.729,1247.68,351.6635,563.36,380.4931,538.72
0.2568457,269731.8,234685.9,242710.2,161070.6,1190.096,1448.16,189.6672,322.56,138.246,349.44
0.2570629,432072.3,316958.9,408378.9,236995.4,1228.499,1489.6,527.414,515.2,427.4199,670.88
0.2578629,434575.6,247671.2,473831.7,222429.8,1794.414,1900.64,7781.552,5884.48,264.2972,572.32
0.25824,260923,235560.6,172409,125242.9,1010.49,1523.2,215.4536,334.88,383.5256,906.08
0.2588571,463874.2,362657.1,382380.8,233725,927.2172,2655.52,24332.21,23148.16,586.8494,687.68
0.2592686,217962.7,182806.4,195737.5,148917.4,-5.187607,1508.64,314.0831,397.6,608.9645,1046.08
0.2603657,349366.5,236512.6,338987.4,223892.5,751.3475,1771.84,330.6206,405.44,286.9321,461.44
0.2672229,342727.9,282173.9,269618.1,172042.1,303.4804,1086.4,13820.64,13274.24,338.31,819.84
0.2739657,304319.6,237082.7,315176.3,229056.8,1287.588,1563.52,14472.06,13846.56,281.3113,665.28
0.2743886,467293.6,304589.6,417570.4,202651.7,846.6522,890.4,218.6376,263.2,64.11407,564.48
0.2768457,525958.2,440797.3,330248.2,193474.4,1628.627,1825.6,29071.08,27264.16,351.436,509.6
0.2802857,370583.1,312702.9,283368.4,191792.2,691.7388,1641.92,21651.69,20924.96,411.1206,514.08
0.2816,375725.9,282207.5,358365.7,232462.7,261.6006,1526.56,505.8188,715.68,345.5553,538.72
0.2832,228352.5,206041.9,194611.8,145985.3,109.9686,993.44,247.1316,351.68,101.9002,459.2
0.28608,535167.2,340958.3,381642.4,174072.6,1214.344,1408.96,482.2092,469.28,238.3159,440.16
0.2881143,273996.8,211342.9,223073.9,150489.9,1387.127,1333.92,17466.18,16910.88,506.4145,687.68
0.2908571,269091.1,222483.5,205984.6,136366.7,86.09912,1456,9145.73,9340.8,332.6675,651.84
0.2923314,258563.1,223108.5,212603.6,166852,795.2852,1965.6,123.3763,343.84,235.9874,377.44
0.2924457,356609.8,331346.4,254625.9,200655.8,2390.523,2819.04,371.9265,455.84,719.7345,871.36
0.2925829,474692.3,331019.4,386576.4,216874.6,579.8965,1172.64,136.7947,196,353.1797,710.08
0.2948914,272908.3,207403.8,268027.8,187109.4,681.7209,1387.68,14966.32,15398.88,296.0077,508.48
0.2978743,451659.1,368444.2,315818.3,197571.4,1426.538,2269.12,18436,17283.84,243.1461,474.88
0.29896,408691.4,298353.4,384256.4,206800.2,775.986,1863.68,581.0229,558.88,619.9786,702.24
0.2996229,401414.7,324634.3,317555.4,209780.5,2057.585,2674.56,22209.83,21088.48,499.0175,652.96
0.30344,320269.8,244059.2,363380.8,271096,1471.418,2073.12,15832.18,17533.6,199.7608,361.76
0.3038743,382390.3,291555,322707.2,210127.7,1210.51,1693.44,19410.33,18138.4,472.9062,816.48
0.3049943,494656.2,307384,588355.5,270649.1,1901.729,2027.2,640.3067,436.8,565.0485,716.8
0.30616,405885.9,258590.1,434555.7,221079,158.0867,915.04,15881.09,11523.68,294.524,537.6
0.3077714,512406.7,439171,419484.8,263289.6,1410.347,1887.2,23580.52,22526.56,517.3745,585.76
0.3141486,339916.2,251488.2,381120.4,236007.5,762.405,1746.08,477.9422,524.16,26.62033,318.08
0.3154629,425740.7,280544.3,442876.2,246522.1,627.603,1158.08,1764.274,1221.92,583.373,518.56
0.31608,385696.6,259557.8,382499.8,255212.2,252.3192,1356.32,376.6268,359.52,299.4192,588
0.31632,444416.9,284835,524681.9,272674.1,1023.41,1038.24,711.0271,734.72,262.8676,535.36
0.3184457,296828.8,273023.5,212795.5,123085.8,700.3162,1277.92,220.9661,459.2,235.3376,490.56
0.3194743,369545.6,256071.2,370427.3,239145.8,-187.1979,603.68,1494.767,1277.92,41.98821,536.48
0.3198514,191362.3,141731.5,374033.4,314102.9,290.4194,1397.76,274.0335,446.88,269.4957,481.6
0.3237943,423658.2,248216.6,518548.8,232111,2021.64,2595.04,617.661,668.64,497.3713,862.4
0.3250514,397774,240377.8,426278.2,195662.9,1562.672,1898.4,368.4934,482.72,489.3354,747.04
0.3262171,376353.5,234418.2,449253.4,221378.1,991.0713,1328.32,234.991,377.44,391.6156,674.24
0.3275314,425433.3,380774.3,355730.2,242783.5,882.0774,1677.76,17017.14,16673.44,490.2127,516.32
0.3276571,433238.8,290557.1,396971.4,225850.2,1761.274,2319.52,371.6666,593.6,354.8692,576.8
0.3294171,624073.3,477722.6,444905.3,256717.4,1553.033,1762.88,22479.82,20397.44,190.9343,598.08
0.3327657,276206.5,224972.2,292428.2,211047.2,1220.257,1851.36,14469.01,14659.68,501.2052,685.44
0.3327771,446608.7,241259.2,487330.3,254039.5,2181.102,2441.6,25878.63,20380.64,-11.58818,370.72
0.3340228,281507.6,251928.3,179210.8,121233.3,841.8762,1477.28,194.2591,366.24,224.9299,1132.32
0.33456,353332,211860.3,478124.4,246486.2,687.4175,2000.32,1797.241,1251.04,188.9307,483.84
0.3347657,446627.2,312903.4,426328.2,226728.3,341.3641,1149.12,601.2101,635.04,347.6347,678.72
0.3381143,366334.9,358702.4,196332.1,158335.5,991.2338,2349.76,306.3071,425.6,759.7516,834.4
0.3384229,579968.7,356463.5,487087.3,218799.8,2101.967,2301.6,429.1635,542.08,356.1038,818.72
0.3400686,527024.9,437064.3,366155.7,240324,2244.079,2852.64,22606.64,21044.8,244.5215,827.68
0.3422743,567317.4,501691.7,353153.6,222211.4,975.6384,1999.2,24889.85,23853.76,454.7766,868
0.3427657,245232.9,212029.4,257809,168640.6,1695.947,1768.48,148.4262,308,-13.93831,352.8
0.3461829,267596.5,228390.4,251671,156680.2,1122.852,1714.72,327.3066,462.56,51.84359,389.76
0.3463657,537587.6,339557.1,482320.6,194424.2,843.0674,1431.36,281.3763,371.84,512.6526,626.08
0.3470514,237073.2,192832.6,251622.5,193685,1004.295,1871.52,1256.322,1551.2,261.828,372.96
0.3474857,413941.6,340838.4,296706.4,197312.6,1391.08,2368.8,16027.17,15290.24,488.5232,532
0.35408,542601.9,458223.4,355573.2,226889.6,810.0898,1943.2,22231.01,20466.88,412.3228,415.52
0.3554972,337217.4,216647.2,424001.1,232925.3,1010.197,1319.36,574.1458,581.28,365.5801,404.32
0.3571543,372057.6,254952.3,467522.7,275088.8,0,981.12,817.7576,888.16,73.11386,337.12
0.3614171,545299.4,460768,354302.3,233796.6,1053.669,1330.56,29016.4,27056.96,243.9475,635.04
0.3638286,618411.9,384146.6,486326.7,240606.2,1359.933,2110.08,19903.47,15693.44,573.5176,608.16
0.3668,400799.7,237369.4,456841,283632.2,931.4842,1300.32,13625.41,11524.8,768.2749,675.36
0.3679314,261231.1,233423.7,233108.4,150888.6,1189.511,2223.2,284.6903,395.36,123.4521,461.44
0.3681028,224299.8,185597.4,235764.8,161928.5,1033.948,1356.32,344.8839,647.36,251.3553,512.96
0.3684229,400057.9,248081.1,516366.8,256895.5,1312.984,2168.32,235.4892,368.48,448.7768,463.68
0.36976,462476,310744,369568.9,164933.4,1662.287,2492,232.5326,269.92,269.409,427.84
0.3736686,400190,280695.5,476962.8,302846.9,1516.254,1817.76,1316.45,1283.52,294.9464,729.12
0.3752114,391575.6,285056.8,531630.3,367488.8,1611.808,1786.4,15741.58,13114.08,498.2486,685.44
0.3752229,474215,297989.4,523284,250183.4,2051.531,1942.08,358.7463,361.76,501.3027,561.12
0.37592,458915.2,436848.2,291166.5,252781.8,1561.297,2636.48,262.4453,480.48,555.4314,668.64
